Rygel - Jonathan Hardy (hì-ang-á ê chhau-chok-jîn)	ɹˈɪɡɛɫ d͡ʒˈɑːnəθən hˈɑːɹd̬i hi˥˩ aŋ˧ a˥˩ e˨˦ t͡sʰau̯˧ t͡sɔk̚˥ d͡ʑin˨˦
Tī Chanoy ê sì-ûi ū Humes-Jorquenay, Rolampont, kap Beauchemin téng siâⁿ-chhī he̍k-chiá chng-siā.	ti˧ t͡ʃˈɑːnoᶷi e˨˦ ɕi˥˩ u̯i˨˦ u˧ hjˈuːmz d͡ʒˈɔːɹkənˌeᶦ , ɹoᶷlˈɑːmpɑːnt , kap̚˧˨ bˈoᶷʃɪmæn tiə̯ŋ˥˩ ɕĩ̯ã˧ t͡ɕʰi˧ hiə̯k̚˧˨ t͡ɕi̯a˥˩ t͡sŋ̍˧ ɕi̯a˧ .
Puxieux sī ūi-tī Hoat-kok Lorraine toā-khu Meurthe-et-Moselle koān ê chi̍t ê commune.	pʰˈʌksiʲˌɛˌʌks ɕi˧ u̯i˨˩ ti˧ hu̯at̚˥ kɔk̚˧˨ lɚˈeᶦn tu̯a˨˩ kʰu˥ mˈɝð ˈɛt moᶷzˈɛɫ ku̯an˧ e˨˦ t͡ɕit̚˥ e˨˦ kʰˈɑːmjuːn .
Tī Boussières-en-Cambrésis ê sì-ûi ū Avesnes-les-Aubert, Saint-Hilaire-lez-Cambrai, Beauvois-en-Cambrésis, Bévillers, kap Carnières téng siâⁿ-chhī he̍k-chiá chng-siā.	ti˧ bˈuːsiʲɚˌɛs ˈɛn kʰˈæmbɹəsɪs e˨˦ ɕi˥˩ u̯i˨˦ u˧ əvˈɛsnz lˈɛs ˈɔːbɚt , sˈeᶦnt hɪlˈɛɹ lˈɛz kʰˈæmbɹeᶦ , boᶷvˈɔᶦs ˈɛn kʰˈæmbɹəsɪs , bˈɛvəlɚz , kap̚˧˨ kʰˈɑːɹniːʲɚz tiə̯ŋ˥˩ ɕĩ̯ã˧ t͡ɕʰi˧ hiə̯k̚˧˨ t͡ɕi̯a˥˩ t͡sŋ̍˧ ɕi̯a˧ .
Tī Fay ê sì-ûi ū Sainte-Gauburge-Sainte-Colombe, Saint-Agnan-sur-Sarthe, Ferrières-la-Verrerie, Mahéru, kap Planches téng siâⁿ-chhī he̍k-chiá chng-siā.	ti˧ fˈeᶦ e˨˦ ɕi˥˩ u̯i˨˦ u˧ sˈeᶦnt ɡˈaᶷbʌɚɡ sˈeᶦnt koᶷlˈoᶷmbi , sˈeᶦnt ˈæɡnən sˈɝ sˈɑːɹθ , fˈɛɹiʲɚz lˈɑː vˈɛɹɛɹi , məhˈɪɹʌ , kap̚˧˨ plˈænt͡ʃɪz tiə̯ŋ˥˩ ɕĩ̯ã˧ t͡ɕʰi˧ hiə̯k̚˧˨ t͡ɕi̯a˥˩ t͡sŋ̍˧ ɕi̯a˧ .
Tī Saint-Michel-sous-Bois ê sì-ûi ū Quilen, Bimont, Clenleu, Embry, Herly, Humbert, kap Rimboval téng siâⁿ-chhī he̍k-chiá chng-siā.	ti˧ sˈeᶦnt mɪʃˈɛɫ sˈuːz bwˈɑː e˨˦ ɕi˥˩ u̯i˨˦ u˧ kʰˈiːlɛn , bˈɪmoᶷnt , klˈɛnluː , ˈɛmbɹi , hˈɝli , hˈʌmbɚt , kap̚˧˨ ɹˈɪmboᶷvˌɑːɫ tiə̯ŋ˥˩ ɕĩ̯ã˧ t͡ɕʰi˧ hiə̯k̚˧˨ t͡ɕi̯a˥˩ t͡sŋ̍˧ ɕi̯a˧ .
Tī Urdès ê sì-ûi ū Arthez-de-Béarn, Castillon, Doazon, Lacq, kap Serres-Sainte-Marie téng siâⁿ-chhī he̍k-chiá chng-siā.	ti˧ ˈɝdz e˨˦ ɕi˥˩ u̯i˨˦ u˧ ˈɑːɹθɛz dˈiː bˈɝn , kʰˈæstɪlɑːn , dˈoᶷəzˌoᶷn , lˈækw , kap̚˧˨ sˈɛɹɛs sˈeᶦnt mɚˈiː tiə̯ŋ˥˩ ɕĩ̯ã˧ t͡ɕʰi˧ hiə̯k̚˧˨ t͡ɕi̯a˥˩ t͡sŋ̍˧ ɕi̯a˧ .
Tī Bréchaumont ê sì-ûi ū Traubach-le-Haut, Guevenatten, Traubach-le-Bas, Chavannes-sur-l'Étang, Elbach, Wolfersdorf, Retzwiller, Valdieu-Lutran, Reppe, kap Saint-Cosme téng siâⁿ-chhī he̍k-chiá chng-siā.	ti˧ bɹˈɛkəuːmˌɑːnt e˨˦ ɕi˥˩ u̯i˨˦ u˧ tɹˈaᶷbɑːk lə hˈɔːt , ɡˈɛvɪnˌæt̬ən , tɹˈaᶷbɑːk lə biːʲˈeᶦz , t͡ʃˈɑːvænz sˈɝ ˈɛɫ ɪtʰˈæŋ , ˈɪɫbɑːk , wˈʊɫfɚzdˌɔːɹf , ɹˈɛtzwɪlɚ , vˈɑːɫdiʲˌuː lˈuːtɹən , ɹˈɛp , kap̚˧˨ sˈeᶦnt kʰˈoᶷzmˈeᶦ tiə̯ŋ˥˩ ɕĩ̯ã˧ t͡ɕʰi˧ hiə̯k̚˧˨ t͡ɕi̯a˥˩ t͡sŋ̍˧ ɕi̯a˧ .
Tī Curtil-sous-Buffières ê sì-ûi ū Buffières, Bergesserin, La Chapelle-du-Mont-de-France, Sivignon, kap Trivy téng siâⁿ-chhī he̍k-chiá chng-siā.	ti˧ kʰˈɝt̬ɪɫ sˈuːz bˈʌfiʲɚˌɛs e˨˦ ɕi˥˩ u̯i˨˦ u˧ bˈʌfiʲɚˌɛs , bˈɝɡɛsˌɛɹɪn , la˥ ʃəpʰˈɛɫ dˈuː mˈɑːnt dˈiː fɹˈæns , sˈɪvɪɡnən , kap̚˧˨ tɹˈɪvi tiə̯ŋ˥˩ ɕĩ̯ã˧ t͡ɕʰi˧ hiə̯k̚˧˨ t͡ɕi̯a˥˩ t͡sŋ̍˧ ɕi̯a˧ .
Étercy sī ūi-tī Hoat-kok Rhône-Alpes toā-khu Haute-Savoie koān ê chi̍t ê commune.	ɪtʰˈɝsi ɕi˧ u̯i˨˩ ti˧ hu̯at̚˥ kɔk̚˧˨ ɹˈoᶷn ˈæɫps tu̯a˨˩ kʰu˥ hˈoᶷt sˈɑːvwɑː ku̯an˧ e˨˦ t͡ɕit̚˥ e˨˦ kʰˈɑːmjuːn .
Tī Compans ê sì-ûi ū Saint-Mesmes, Thieux, Gressy, Messy, kap Mitry-Mory téng siâⁿ-chhī he̍k-chiá chng-siā.	ti˧ kʰˈɑːmpænz e˨˦ ɕi˥˩ u̯i˨˦ u˧ sˈeᶦnt mˈɛzmz , θˈiːʲʌks , ɡɹˈɛsi , mˈɛsi , kap̚˧˨ mˈɪtɹi mˈɔːɹi tiə̯ŋ˥˩ ɕĩ̯ã˧ t͡ɕʰi˧ hiə̯k̚˧˨ t͡ɕi̯a˥˩ t͡sŋ̍˧ ɕi̯a˧ .
Tī Carrépuis ê sì-ûi ū Champien, Gruny, Roiglise, kap Roye téng siâⁿ-chhī he̍k-chiá chng-siā.	ti˧ kʰˈæɹɪpʰˌʌɪs e˨˦ ɕi˥˩ u̯i˨˦ u˧ t͡ʃˈæmpiʲən , ɡɹˈʌnj , ɹˈɔᶦɡliz , kap̚˧˨ ɹˈɔᶦ tiə̯ŋ˥˩ ɕĩ̯ã˧ t͡ɕʰi˧ hiə̯k̚˧˨ t͡ɕi̯a˥˩ t͡sŋ̍˧ ɕi̯a˧ .
Tī Rustrel ê sì-ûi ū Apt, Caseneuve, Gignac, Lagarde-d'Apt, kap Villars téng siâⁿ-chhī he̍k-chiá chng-siā.	ti˧ ɹˈʌstɹəɫ e˨˦ ɕi˥˩ u̯i˨˦ u˧ ˈæpt , kʰˈæsɪnˌuːv , ɡˈɪɡnək , lɑːɡˈɑːɹd̬i dˈiː ˈæpt , kap̚˧˨ vˈɪlɚz tiə̯ŋ˥˩ ɕĩ̯ã˧ t͡ɕʰi˧ hiə̯k̚˧˨ t͡ɕi̯a˥˩ t͡sŋ̍˧ ɕi̯a˧ .
Tī Vittel ê sì-ûi ū They-sous-Montfort, Contrexéville, Haréville, Lignéville, Norroy, Parey-sous-Montfort, Saint-Remimont, Thuillières, kap Valleroy-le-Sec téng siâⁿ-chhī he̍k-chiá chng-siā.	ti˧ vˈɪt̬əɫ e˨˦ ɕi˥˩ u̯i˨˦ u˧ ðeᶦ sˈuːz mˈɑːntfɚt , kʰˈɑːntɹɪɡzˌɛvɪɫ , hˈɛɹvɪɫ , lˈɪɡnɛvɪɫ , nˈɔːɹɔᶦ , pʰˈɛɹi sˈuːz mˈɑːntfɚt , sˈeᶦnt ɹˈɛmɪmˌoᶷnt , θˈɪliʲɚˌɛs , kap̚˧˨ vˈælɪɹˌɔᶦ lə sˈɛk tiə̯ŋ˥˩ ɕĩ̯ã˧ t͡ɕʰi˧ hiə̯k̚˧˨ t͡ɕi̯a˥˩ t͡sŋ̍˧ ɕi̯a˧ .
Miramas sī ūi-tī Hoat-kok Provence-Alpes-Côte d'Azur toā-khu Bouches-du-Rhône koān ê chi̍t ê commune.	mˈɪɹəmˌɑːz ɕi˧ u̯i˨˩ ti˧ hu̯at̚˥ kɔk̚˧˨ pɹˈoᶷvəns ˈæɫps kʰˈoᶷt dˈiː əzˈʊɹ tu̯a˨˩ kʰu˥ bˈaᶷt͡ʃɪz dˈuː ɹˈoᶷn ku̯an˧ e˨˦ t͡ɕit̚˥ e˨˦ kʰˈɑːmjuːn .
Tī Mirepoix ê sì-ûi ū La Bastide-de-Bousignac, Besset, Cazals-des-Baylès, Coutens, Lapenne, Malegoude, Manses, Roumengoux, Sainte-Foi, Lafage, Plaigne, Plavilla, kap Villautou téng siâⁿ-chhī he̍k-chiá chng-siā.	ti˧ mɪɹˈɛpəˌɪks e˨˦ ɕi˥˩ u̯i˨˦ u˧ la˥ bˈæst͡ʃd dˈiː bˈaᶷsɪɡnək , bˈiːzsɛt , kʰˈɑːzəɫz dˈɛs bˈeᶦɫz , kʰˈuːt̬ɛnz , lɑːpʰˈɛn , mˈeᶦɫɡaᶷd , mˈænzɪz , ɹuːmˈɛŋɡoᶷˌʌks , sˈeᶦnt fˈɔᶦ , ləfˈeᶦɡ , plˈeᶦn , plˈɑːvɪlə , kap̚˧˨ vˈɪlɔːt̬ˌʌ tiə̯ŋ˥˩ ɕĩ̯ã˧ t͡ɕʰi˧ hiə̯k̚˧˨ t͡ɕi̯a˥˩ t͡sŋ̍˧ ɕi̯a˧ .
Neuville-en-Verdunois sī ūi-tī Hoat-kok Lorraine toā-khu Meuse koān ê chi̍t ê commune.	nˈuːvɪɫ ˈɛn vɚdˈuːnoᶷɪs ɕi˧ u̯i˨˩ ti˧ hu̯at̚˥ kɔk̚˧˨ lɚˈeᶦn tu̯a˨˩ kʰu˥ mjˈuːz ku̯an˧ e˨˦ t͡ɕit̚˥ e˨˦ kʰˈɑːmjuːn .
Olivetta San Michele (Italia-bûn: ) sī Italia Liguria toā-khu Imperia Séng ê chi̍t ê comune.	oᶷlivˈɛt̬ə san˥ mɪʃˈɛɫ itʰˈæliʲə bun˨˦ , ɕi˧ itʰˈæliʲə lˈɪɡjɚˌiːʲə tu̯a˨˩ kʰu˥ ɪmpˈɪɹiʲə ɕiə̯ŋ˥˩ e˨˦ t͡ɕit̚˥ e˨˦ kəmjˈuːn .
12 goe̍h 20 ji̍t: Brittany Murphy, Bí-kok ián-oân.	t͡sap̚˧˨ d͡ʑi˧ ɡu̯eʔ˥ d͡ʑi˨˩ t͡sap̚˥ d͡ʑit̚˥ , bɹˈɪt̬əni mˈɝfi , bi˥ kɔk̚˧˨ i̯ɛn˥ u̯an˨˦ .
Tī Castelseprio ê sì-ûi ū Cairate, Carnago, Lonate Ceppino, kap Gornate-Olona téng siâⁿ-chhī he̍k-chiá chng-siā.	ti˧ kʰˈæstɛɫsˌɛpɹˌiːʲoᶷ e˨˦ ɕi˥˩ u̯i˨˦ u˧ kʰˈaᶦɹeᶦt , kɑːɹnˈeᶦɡoᶷ , ɫnˈʌt sˈɛpʰiːnoᶷ , kap̚˧˨ ɡˈɔːɹnət əlˈoᶷnə tiə̯ŋ˥˩ ɕĩ̯ã˧ t͡ɕʰi˧ hiə̯k̚˧˨ t͡ɕi̯a˥˩ t͡sŋ̍˧ ɕi̯a˧ .
Castelvenere (Italia-bûn: ) sī Italia Campania toā-khu Benevento Séng ê chi̍t ê comune.	kɑːstɛɫvˈɛnɚ itʰˈæliʲə bun˨˦ , ɕi˧ itʰˈæliʲə kʰˈæmpəniʲə tu̯a˨˩ kʰu˥ bˈɛnəveᶦntoᶷ ɕiə̯ŋ˥˩ e˨˦ t͡ɕit̚˥ e˨˦ kəmjˈuːn .
1923 nî sī Philadelphia Athletics tī Iá-kiû Tāi Liân-bêng ê tē- ê kiû-kùi. In hit nî ê sèng-pāi kì-lo̍k sī 69 sèng 83 pāi, sèng-lu̍t 0.454.	t͡ɕit̚˧˨ t͡ɕʰi̯ɛn˧ kau̯˥ paʔ˥˩ d͡ʑi˨˩ t͡sap̚˧˨ sã˥ ni˨˦ ɕi˧ fˌɪlədˈɛɫfiʲə æθlˈɛt̬ɪks ti˧ i̯a˥ ki̯u˨˦ tai̯˧ li̯ɛn˧ biə̯ŋ˨˦ e˨˦ te˧ e˨˦ ki̯u˧ ku̯i˨˩ . in˥ hit̚˧˨ ni˨˦ e˨˦ ɕiə̯ŋ˥˩ pai̯˧ ki˥˩ lɔk̚˥ ɕi˧ lak̚˧˨ t͡sap̚˧˨ kau̯˥˩ ɕiə̯ŋ˨˩ pat̚˥ t͡sap̚˧˨ sã˥ pai̯˧ , ɕiə̯ŋ˥˩ lut̚˥ liə̯ŋ˨˦ ti̯am˥˩ ɕi˨˩ ɡɔ˧ ɕi˨˩ .
Tamurejo sī tī Se-pan-gâ Extremadura chū-tī siā-lí Badajoz séng ê chi̍t ê municipio.	tɑːmˈʊɹɪd͡ʒˌɔᶦ ɕi˧ ti˧ se˧ pan˧ ɡa˨˦ ɛkstɹˈiːmeᶦd̬ˌʊɹə t͡su˨˩ ti˧ ɕi̯a˨˩ li˥˩ bˈæd̬əd͡ʒˌoᶷz ɕiə̯ŋ˥˩ e˨˦ t͡ɕit̚˥ e˨˦ mjuːnˈɪsɪpiʲoᶷ .
Valdeprados sī tī Se-pan-gâ Castilla kap León chū-tī siā-lí Segovia séng ê chi̍t ê municipio.	vˈæɫdɛpɹˌɑːd̬oᶷz ɕi˧ ti˧ se˧ pan˧ ɡa˨˦ kɑːstˈɪlə kap̚˧˨ lˈiːʲɑːn t͡su˨˩ ti˧ ɕi̯a˨˩ li˥˩ sɛɡˈoᶷviʲə ɕiə̯ŋ˥˩ e˨˦ t͡ɕit̚˥ e˨˦ mjuːnˈɪsɪpiʲoᶷ .
Tī pún tē-hng sì-ûi ê hêng-chèng-khu ū Aldeaquemada, Vilches, La Carolina, Viso del Marqués.	ti˧ pun˥˩ te˨˩ hŋ̍˥ ɕi˥˩ u̯i˨˦ e˨˦ hiə̯ŋ˧ t͡ɕiə̯ŋ˥˩ kʰu˥ u˧ ˈɔːɫdækwəɪmˌɑːd̬ə , vˈɪɫt͡ʃɪz , la˥ kʰˌɛɹəlˈaᶦnə , vˈaᶦz dˈɛɫ mˈɑːɹks .
Chit ūi tī 2006 nî ê jîn-kháu-sò͘ sī 15,787 lâng; kàu 2016 nî ê sî ū 15,968 lâng.	t͡ɕit̚˧˨ u̯i˧ ti˧ d͡ʑi˨˩ t͡ɕʰi̯ɛn˧ liə̯ŋ˧ lak̚˥ ni˨˦ e˨˦ d͡ʑin˧ kʰau̯˥ sɔ˨˩ ɕi˧ t͡ɕit̚˧˨ ban˨˩ ɡɔ˨˩ t͡ɕʰi̯ɛn˧ t͡ɕʰit̚˥ paʔ˥˩ pat̚˥ t͡sap̚˧˨ t͡ɕʰit̚˧˨ laŋ˨˦ , kau̯˨˩ d͡ʑi˨˩ t͡ɕʰi̯ɛn˧ liə̯ŋ˧ t͡ɕit̚˧˨ t͡sap̚˧˨ lak̚˥ ni˨˦ e˨˦ ɕi˨˦ u˧ t͡ɕit̚˧˨ ban˨˩ ɡɔ˨˩ t͡ɕʰi̯ɛn˧ kau̯˥ paʔ˥˩ lak̚˧˨ t͡sap̚˧˨ pat̚˧˨ laŋ˨˦ .
Strawczyn sī Pho-lân Świętokrzyskie séng Kielecki kūn ê chi̍t ê chng-kha kong-siā ().	stɹˈɔːt͡ʃɪn ɕi˧ pʰə˧ lan˨˦ swˈiːt̬oᶷkɹɪski ɕiə̯ŋ˥˩ kʰˈiːlɛki kun˧ e˨˦ t͡ɕit̚˥ e˨˦ t͡sŋ̍˧ kʰa˥ kɔŋ˧ ɕi̯a˧ .
Bógwidze sī chi̍t ê tī Pho-lân Kiōng-hô-kok Tōa Pho-lân Séng Pleszew Kūn Pleszew Kong-siā ê chng-thâu.	bˈɑːɡwɪdz ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ pʰə˧ lan˨˦ ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ tu̯a˧ pʰə˧ lan˨˦ ɕiə̯ŋ˥˩ plˈɛsɛf kun˧ plˈɛsɛf kɔŋ˧ ɕi̯a˧ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ .
Czerwonka-Parcel sī chi̍t ê tī Pho-lân Kiōng-hô-kok Masovia Séng Sochaczew Kūn Sochaczew Kong-siā ê chng-thâu.	t͡ʃɚvˈɑːŋkə pʰˈɑːɹsəɫ ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ pʰə˧ lan˨˦ ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ mˈæsəviʲə ɕiə̯ŋ˥˩ sˈoᶷkət͡ʃˌɛf kun˧ sˈoᶷkət͡ʃˌɛf kɔŋ˧ ɕi̯a˧ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ .
Gogole-Steczki sī chi̍t ê tī Pho-lân Kiōng-hô-kok Masovia Séng Ciechanów Kūn Gołymin-Ośrodek Kong-siā ê chng-thâu.	ɡˈoᶷɡoᶷɫ stˈiːt͡ʃki ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ pʰə˧ lan˨˦ ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ mˈæsəviʲə ɕiə̯ŋ˥˩ sˈiːkʰænəvɪ kun˧ ɡˈɑːlɪmˌɪn ˈɑːsɹoᶷd̬ək kɔŋ˧ ɕi̯a˧ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ .
Jęczniki Małe sī chi̍t ê tī Pho-lân Kiōng-hô-kok Pomerania Séng Człuchów Kūn Człuchów Kong-siā ê chng-thâu.	d͡ʒˈɛkznɪki mˈeᶦɫ ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ pʰə˧ lan˨˦ ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ pʰˌɑːmɚˈeᶦniʲə ɕiə̯ŋ˥˩ t͡ʃlˈʌkoᶷ kun˧ t͡ʃlˈʌkoᶷ kɔŋ˧ ɕi̯a˧ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ .
Kosnowiec sī chi̍t ê tī Pho-lân Kiōng-hô-kok Lublin Séng Krasnystaw Kūn Fajsławice Kong-siā ê chng-thâu.	kʰˈɑːsnoᶷik ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ pʰə˧ lan˨˦ ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ lˈʌblɪn ɕiə̯ŋ˥˩ kɹˈæsnistəw kun˧ fslˈæwɪ kɔŋ˧ ɕi̯a˧ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ .
Lubośnia sī chi̍t ê tī Pho-lân Kiōng-hô-kok Łódź Séng Bełchatów Kūn Szczerców Kong-siā ê chng-thâu.	lˈuːbɑːzniʲə ɕi˧ t͡ɕit̚˥ e˨˦ ti˧ pʰə˧ lan˨˦ ki̯ɔŋ˨˩ hə˧ kɔk̚˧˨ lˈɑːd͡ʒiː ɕiə̯ŋ˥˩ bˈɛɫt͡ʃɑːt̬ˌoᶷ kun˧ ʃˈɪɹkoᶷ kɔŋ˧ ɕi̯a˧ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ .
Villa de Lampa sī Chile Santiago khu Chacabuco séng ê chi̍t ê chū-tī-thé (comuna).	vˈɪlə dˈiː lˈæmpə ɕi˧ t͡ʃˈɪli sˌæntiʲˈɑːɡoᶷ kʰu˥ t͡ʃˌækəbjˈuːkoᶷ ɕiə̯ŋ˥˩ e˨˦ t͡ɕit̚˥ e˨˦ t͡su˨˩ ti˨˩ tʰe˥˩ kʰˈɑːmuːnə .
Chit ūi tī 2013 nî 1 goe̍h ê jîn-kháu-sò͘ sī 173 lâng; kàu 2015 nî 1 goe̍h ê sî ū 162 lâng.	t͡ɕit̚˧˨ u̯i˧ ti˧ d͡ʑi˨˩ t͡ɕʰi̯ɛn˧ liə̯ŋ˧ t͡ɕit̚˧˨ t͡sap̚˧˨ sã˥ ni˨˦ it̚˧˨ ɡu̯eʔ˥ e˨˦ d͡ʑin˧ kʰau̯˥ sɔ˨˩ ɕi˧ t͡ɕit̚˧˨ paʔ˥˩ t͡ɕʰit̚˥ t͡sap̚˧˨ sã˥ laŋ˨˦ , kau̯˨˩ d͡ʑi˨˩ t͡ɕʰi̯ɛn˧ liə̯ŋ˧ t͡ɕit̚˧˨ t͡sap̚˧˨ ɡɔ˧ ni˨˦ it̚˧˨ ɡu̯eʔ˥ e˨˦ ɕi˨˦ u˧ t͡ɕit̚˧˨ paʔ˥˩ lak̚˧˨ t͡sap̚˧˨ d͡ʑi˧ laŋ˨˦ .
Cisco Systems (, ) sī 1 ê sè-kài chhut-miâ ê bāng-chè bāng-lō͘ kái-koat hong-àn kong-si.	sˈɪskoᶷ sˈɪstəmz , ɕi˧ it̚˧˨ e˨˦ se˥˩ kai̯˨˩ t͡sʰut̚˥ mi̯a˨˦ e˨˦ baŋ˨˩ t͡se˨˩ baŋ˨˩ lɔ˧ kai̯˥ ku̯at̚˧˨ hɔŋ˧ an˨˩ kɔŋ˧ ɕi˥ .
Maarn sī Hô-lân Utrecht séng Utrechtse Heuvelrug chū-tī-thé lāi-bīn ê chi̍t ê chng-thâu.	mˈɑːɹn ɕi˧ hə˧ lan˨˦ jˈuːtɹɛkt ɕiə̯ŋ˥˩ jˈuːtɹɛkts hˈuːvəɫɹˌʌɡ t͡su˨˩ ti˨˩ tʰe˥˩ lai̯˨˩ bin˧ e˨˦ t͡ɕit̚˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ .
Koudenburg sī Hô-lân Friesland séng Ooststellingwerf chū-tī-thé lāi-bīn ê chi̍t ê chng-thâu.	kʰˈaᶷd̬ənbɚɡ ɕi˧ hə˧ lan˨˦ fɹˈaᶦzlænd ɕiə̯ŋ˥˩ ˈuːststɛlɪŋwˌɛɹf t͡su˨˩ ti˨˩ tʰe˥˩ lai̯˨˩ bin˧ e˨˦ t͡ɕit̚˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ .
Conneautville sī Bí-kok Pennsylvania chiu Crawford kūn ê chi̍t ê chng-thâu (borough).	kʰˈʌnoᶷtvˌɪɫ ɕi˧ bi˥ kɔk̚˧˨ pʰˌɛnsəɫvˈeᶦnjə t͡ɕi̯u˥ kɹˈɔːfɚd kun˧ e˨˦ t͡ɕit̚˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ bˈɝoᶷ .
West Little River sī Bí-kok Florida chiu Miami-Dade kūn ê chi̍t ê chng-thâu (CDP).	wˈɛst lˈɪt̬əɫ ɹˈɪvɚ ɕi˧ bi˥ kɔk̚˧˨ flˈɔːɹəd̬ə t͡ɕi̯u˥ maᶦˈæmi dˈeᶦd kun˧ e˨˦ t͡ɕit̚˥ e˨˦ t͡sŋ̍˧ tʰau̯˨˦ sˈiː dˈiː pʰˈiː .
Ribeira da Janela sī Phû-tô-gâ Porto Moniz chū-tī-thé ê chi̍t ê kàu-khu (freguesia).	ɹˈaᶦbɪɹə dˈɑː d͡ʒˈænɛlə ɕi˧ pʰu˧ tə˧ ɡa˨˦ pʰˈɔːɹt̬oᶷ mˈɑːnɪz t͡su˨˩ ti˨˩ tʰe˥˩ e˨˦ t͡ɕit̚˥ e˨˦ kau̯˥˩ kʰu˥ fɹˈɛɡjəɪzˌaᶦə .
Tī pún só͘-chāi sì-ûi ê tē-hng ū Dolany, Osice, Praskačka, Podůlšany, Plch, Stéblová, kap Čeperka.	ti˧ pun˥˩ sɔ˥ t͡sai̯˧ ɕi˥˩ u̯i˨˦ e˨˦ te˨˩ hŋ̍˥ u˧ dˈoᶷləni , ˈɑːsɪs , pɹˈæskəkə , pədˈʌɫsəni , pɫt͡ʃ , stˈɛbloᶷvə , kap̚˧˨ sˈɛpʰɛɹkə .
Tī pún só͘-chāi sì-ûi ê tē-hng ū Rybníky, Borotice, Nečín, Nový Knín, Daleké Dušníky, kap Drevníky.	ti˧ pun˥˩ sɔ˥ t͡sai̯˧ ɕi˥˩ u̯i˨˦ e˨˦ te˨˩ hŋ̍˥ u˧ ɹˈɪbnɪki , bˈɝoᶷt̬ˌaᶦs , nəsˈɪn , nˈoᶷvi kʰˈeᶦˈɛnˈaᶦˈɛn , dˈɑːlɛk dˈʌsnɪki , kap̚˧˨ dɹˈɛvnɪki .
Tiong-kok Kiōng-sán-tóng tē 5 chhù Choân-kok Tāi-piáu Tāi-hoē, kám-chheng kiò chò Tiong Kiōng 5 Tāi, sī Tiong-kok Kiōng-sán-tóng tī 1927 nî 4 goe̍h 27 ji̍t kàu 5 goe̍h 9 ji̍t tī Bú-hàn khui ê Choân-kok Tāi-piáu Tāi-hoē. Khui-hoē ê tāi-piáu ū 82 lâng.	ti̯ɔŋ˧ kɔk̚˧˨ ki̯ɔŋ˨˩ san˥ tɔŋ˥˩ te˧ ɡɔ˧ t͡sʰu˨˩ t͡su̯an˧ kɔk̚˧˨ tai̯˨˩ pi̯au̯˥˩ tai̯˨˩ hu̯e˧ , kam˥ t͡ɕʰiə̯ŋ˥ ki̯o˨˩ t͡sə˨˩ ti̯ɔŋ˥ ki̯ɔŋ˧ ɡɔ˧ tai̯˧ , ɕi˧ ti̯ɔŋ˧ kɔk̚˧˨ ki̯ɔŋ˨˩ san˥ tɔŋ˥˩ ti˧ t͡ɕit̚˧˨ t͡ɕʰi̯ɛn˧ kau̯˥ paʔ˥˩ d͡ʑi˨˩ t͡sap̚˧˨ t͡ɕʰit̚˧˨ ni˨˦ ɕi˨˩ ɡu̯eʔ˥ d͡ʑi˨˩ t͡sap̚˧˨ t͡ɕʰit̚˧˨ d͡ʑit̚˥ kau̯˨˩ ɡɔ˧ ɡu̯eʔ˥ kau̯˥˩ d͡ʑit̚˥ ti˧ bu˥ han˨˩ kʰu̯i˥ e˨˦ t͡su̯an˧ kɔk̚˧˨ tai̯˨˩ pi̯au̯˥˩ tai̯˨˩ hu̯e˧ . kʰu̯i˧ hu̯e˧ e˨˦ tai̯˨˩ pi̯au̯˥˩ u˧ pat̚˥ t͡sap̚˧˨ d͡ʑi˧ laŋ˨˦ .
Má-khó 4, ia̍h Má-khó Hok-im Tē 4 Chiuⁿ, sī Sin-iok Sèng-keng Choân-su Má-thài Hok-im lāi ê tē-4 chiuⁿ.	ma˥ kʰə˥˩ ɕi˨˩ , i̯aʔ˥ ma˥ kʰə˥˩ hɔk̚˥ im˥ te˧ ɕi˨˩ t͡ɕĩ̯ũ˥ , ɕi˧ ɕin˧ i̯ok̚˧˨ ɕiə̯ŋ˥˩ kiə̯ŋ˥ t͡su̯an˧ su˥ ma˥ tʰai̯˨˩ hɔk̚˥ im˥ lai̯˧ e˨˦ te˧ ɕi˨˩ t͡ɕĩ̯ũ˥ .
